date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
12:58:04	1319413/1319413	---M--	200	added ('OK')	image/png	etag:%221421f5-5617852d30d7f%22	http://web-week-2017-diablo.tp.mmi-lepuy.fr/uploads/LacBleuLac.png	D:/Utilisateurs/Bureau/test_1/WeebWeek/web-week-2017-diablo.tp.mmi-lepuy.fr/uploads/LacBleuLac.png	(from http://web-week-2017-diablo.tp.mmi-lepuy.fr/admin/pages/edit-page.php?state=new)
12:58:11	36289/36289	---M--	200	added ('OK')	image/png	etag:%228dc1-5617852d5ad58%22	http://web-week-2017-diablo.tp.mmi-lepuy.fr/uploads/logo.png	D:/Utilisateurs/Bureau/test_1/WeebWeek/web-week-2017-diablo.tp.mmi-lepuy.fr/uploads/logo.png	(from http://web-week-2017-diablo.tp.mmi-lepuy.fr/admin/pages/edit-page.php?state=new)
12:58:18	46435/46435	---M--	200	added ('OK')	image/jpeg	etag:%22b563-5617852eb2922%22	http://web-week-2017-diablo.tp.mmi-lepuy.fr/uploads/photo%20internet%20estables.jpg	D:/Utilisateurs/Bureau/test_1/WeebWeek/web-week-2017-diablo.tp.mmi-lepuy.fr/uploads/photo%20internet%20estables.jpg	(from http://web-week-2017-diablo.tp.mmi-lepuy.fr/admin/pages/edit-page.php?state=new)
12:58:24	1149866/1149866	---M--	200	added ('OK')	image/png	etag:%22118baa-56178550bb20f%22	http://web-week-2017-diablo.tp.mmi-lepuy.fr/uploads/SanctuaireFace.png	D:/Utilisateurs/Bureau/test_1/WeebWeek/web-week-2017-diablo.tp.mmi-lepuy.fr/uploads/SanctuaireFace.png	(from http://web-week-2017-diablo.tp.mmi-lepuy.fr/admin/pages/edit-page.php?state=new)
12:58:29	1328810/1328810	---M--	200	added ('OK')	image/png	etag:%221446aa-56178541ee360%22	http://web-week-2017-diablo.tp.mmi-lepuy.fr/uploads/PierreGauloise.png	D:/Utilisateurs/Bureau/test_1/WeebWeek/web-week-2017-diablo.tp.mmi-lepuy.fr/uploads/PierreGauloise.png	(from http://web-week-2017-diablo.tp.mmi-lepuy.fr/admin/pages/edit-page.php?state=new)
12:58:37	113091/113091	---M--	200	added ('OK')	image/jpeg	etag:%221b9c3-5617853089419%22	http://web-week-2017-diablo.tp.mmi-lepuy.fr/uploads/photo%20internet.jpg	D:/Utilisateurs/Bureau/test_1/WeebWeek/web-week-2017-diablo.tp.mmi-lepuy.fr/uploads/photo%20internet.jpg	(from http://web-week-2017-diablo.tp.mmi-lepuy.fr/admin/pages/edit-page.php?state=new)
12:58:43	120457/120457	---M--	200	added ('OK')	image/jpeg	etag:%221d689-56178536c8cde%22	http://web-week-2017-diablo.tp.mmi-lepuy.fr/uploads/riva%20message%201.jpg	D:/Utilisateurs/Bureau/test_1/WeebWeek/web-week-2017-diablo.tp.mmi-lepuy.fr/uploads/riva%20message%201.jpg	(from http://web-week-2017-diablo.tp.mmi-lepuy.fr/admin/pages/edit-page.php?state=new)
12:58:43	125587/125587	---M-Z	200	added ('OK')	application/javascript	etag:%221ea93-561781a6521e1-gzip%22	http://web-week-2017-diablo.tp.mmi-lepuy.fr/admin/js/plupload/plupload.full.min.js	D:/Utilisateurs/Bureau/test_1/WeebWeek/web-week-2017-diablo.tp.mmi-lepuy.fr/admin/js/plupload/plupload.full.min.js	(from http://web-week-2017-diablo.tp.mmi-lepuy.fr/admin/pages/edit-page.php?state=new)
12:58:44	57/57	---MCZ	200	added ('OK')	text/html	date:Fri,%2029%20Dec%202017%2011:58:42%20GMT	http://web-week-2017-diablo.tp.mmi-lepuy.fr/admin/pages/uploader.php	D:/Utilisateurs/Bureau/test_1/WeebWeek/web-week-2017-diablo.tp.mmi-lepuy.fr/admin/pages/uploader.html	(from http://web-week-2017-diablo.tp.mmi-lepuy.fr/admin/pages/edit-page.php?state=new)
12:58:44	45360/45360	---MCZ	200	added ('OK')	text/html	date:Fri,%2029%20Dec%202017%2011:58:42%20GMT	http://web-week-2017-diablo.tp.mmi-lepuy.fr/admin/pages/edit-page.php?state=edit&page-id=11	D:/Utilisateurs/Bureau/test_1/WeebWeek/web-week-2017-diablo.tp.mmi-lepuy.fr/admin/pages/edit-pagee1f5.html	(from http://web-week-2017-diablo.tp.mmi-lepuy.fr/admin/pages/list-page.php)
12:58:44	45635/45635	---MCZ	200	added ('OK')	text/html	date:Fri,%2029%20Dec%202017%2011:58:43%20GMT	http://web-week-2017-diablo.tp.mmi-lepuy.fr/admin/pages/edit-page.php?state=edit&page-id=12	D:/Utilisateurs/Bureau/test_1/WeebWeek/web-week-2017-diablo.tp.mmi-lepuy.fr/admin/pages/edit-pagecc62.html	(from http://web-week-2017-diablo.tp.mmi-lepuy.fr/admin/pages/list-page.php)
12:58:45	48894/48894	---MCZ	200	added ('OK')	text/html	date:Fri,%2029%20Dec%202017%2011:58:43%20GMT	http://web-week-2017-diablo.tp.mmi-lepuy.fr/admin/pages/edit-page.php?state=edit&page-id=13	D:/Utilisateurs/Bureau/test_1/WeebWeek/web-week-2017-diablo.tp.mmi-lepuy.fr/admin/pages/edit-pageca61.html	(from http://web-week-2017-diablo.tp.mmi-lepuy.fr/admin/pages/list-page.php)
12:58:45	44130/44130	---MCZ	200	added ('OK')	text/html	date:Fri,%2029%20Dec%202017%2011:58:44%20GMT	http://web-week-2017-diablo.tp.mmi-lepuy.fr/admin/pages/edit-page.php?state=edit&page-id=14	D:/Utilisateurs/Bureau/test_1/WeebWeek/web-week-2017-diablo.tp.mmi-lepuy.fr/admin/pages/edit-paged20f.html	(from http://web-week-2017-diablo.tp.mmi-lepuy.fr/admin/pages/list-page.php)
12:58:46	44183/44183	---MCZ	200	added ('OK')	text/html	date:Fri,%2029%20Dec%202017%2011:58:44%20GMT	http://web-week-2017-diablo.tp.mmi-lepuy.fr/admin/pages/edit-page.php?state=edit&page-id=15	D:/Utilisateurs/Bureau/test_1/WeebWeek/web-week-2017-diablo.tp.mmi-lepuy.fr/admin/pages/edit-paged839.html	(from http://web-week-2017-diablo.tp.mmi-lepuy.fr/admin/pages/list-page.php)
12:58:46	44006/44006	---MCZ	200	added ('OK')	text/html	date:Fri,%2029%20Dec%202017%2011:58:44%20GMT	http://web-week-2017-diablo.tp.mmi-lepuy.fr/admin/pages/edit-page.php?state=edit&page-id=16	D:/Utilisateurs/Bureau/test_1/WeebWeek/web-week-2017-diablo.tp.mmi-lepuy.fr/admin/pages/edit-page333f.html	(from http://web-week-2017-diablo.tp.mmi-lepuy.fr/admin/pages/list-page.php)
12:58:46	44950/44950	---MCZ	200	added ('OK')	text/html	date:Fri,%2029%20Dec%202017%2011:58:45%20GMT	http://web-week-2017-diablo.tp.mmi-lepuy.fr/admin/pages/edit-page.php?state=edit&page-id=17	D:/Utilisateurs/Bureau/test_1/WeebWeek/web-week-2017-diablo.tp.mmi-lepuy.fr/admin/pages/edit-page10b0.html	(from http://web-week-2017-diablo.tp.mmi-lepuy.fr/admin/pages/list-page.php)
12:58:47	108039/108039	---M--	200	added ('OK')	image/jpeg	etag:%221a607-56178556e2439%22	http://web-week-2017-diablo.tp.mmi-lepuy.fr/uploads/village%20photo%20internet.jpg	D:/Utilisateurs/Bureau/test_1/WeebWeek/web-week-2017-diablo.tp.mmi-lepuy.fr/uploads/village%20photo%20internet.jpg	(from http://web-week-2017-diablo.tp.mmi-lepuy.fr/admin/pages/edit-page.php?state=new)
12:58:47	43151/43151	---MCZ	200	added ('OK')	text/html	date:Fri,%2029%20Dec%202017%2011:58:45%20GMT	http://web-week-2017-diablo.tp.mmi-lepuy.fr/admin/pages/edit-page.php?state=edit&page-id=18	D:/Utilisateurs/Bureau/test_1/WeebWeek/web-week-2017-diablo.tp.mmi-lepuy.fr/admin/pages/edit-pageb0c4.html	(from http://web-week-2017-diablo.tp.mmi-lepuy.fr/admin/pages/list-page.php)
12:58:47	43352/43352	---MCZ	200	added ('OK')	text/html	date:Fri,%2029%20Dec%202017%2011:58:45%20GMT	http://web-week-2017-diablo.tp.mmi-lepuy.fr/admin/pages/edit-page.php?state=edit&page-id=19	D:/Utilisateurs/Bureau/test_1/WeebWeek/web-week-2017-diablo.tp.mmi-lepuy.fr/admin/pages/edit-page4a7a.html	(from http://web-week-2017-diablo.tp.mmi-lepuy.fr/admin/pages/list-page.php)
12:58:47	453/453	---M--	404	error ('Not%20Found')	text/html	date:Fri,%2029%20Dec%202017%2011:58:46%20GMT	http://web-week-2017-diablo.tp.mmi-lepuy.fr/admin/pages/CatheFaceClassique.jpg	D:/Utilisateurs/Bureau/test_1/WeebWeek/web-week-2017-diablo.tp.mmi-lepuy.fr/admin/pages/CatheFaceClassique.81.delayed	(from http://web-week-2017-diablo.tp.mmi-lepuy.fr/admin/pages/image-uploader-page.php)
12:58:47	451/451	---M--	404	error ('Not%20Found')	text/html	date:Fri,%2029%20Dec%202017%2011:58:46%20GMT	http://web-week-2017-diablo.tp.mmi-lepuy.fr/admin/pages/CatheFaceIncline.jpg	D:/Utilisateurs/Bureau/test_1/WeebWeek/web-week-2017-diablo.tp.mmi-lepuy.fr/admin/pages/CatheFaceIncline.jpg	(from http://web-week-2017-diablo.tp.mmi-lepuy.fr/admin/pages/image-uploader-page.php)
12:58:48	450/450	---M--	404	error ('Not%20Found')	text/html	date:Fri,%2029%20Dec%202017%2011:58:46%20GMT	http://web-week-2017-diablo.tp.mmi-lepuy.fr/admin/pages/CatheTroisQuart.jpg	D:/Utilisateurs/Bureau/test_1/WeebWeek/web-week-2017-diablo.tp.mmi-lepuy.fr/admin/pages/CatheTroisQuart.jpg	(from http://web-week-2017-diablo.tp.mmi-lepuy.fr/admin/pages/image-uploader-page.php)
12:58:48	454/454	---M--	404	error ('Not%20Found')	text/html	date:Fri,%2029%20Dec%202017%2011:58:47%20GMT	http://web-week-2017-diablo.tp.mmi-lepuy.fr/admin/pages/CloitreBatimentTour.jpg	D:/Utilisateurs/Bureau/test_1/WeebWeek/web-week-2017-diablo.tp.mmi-lepuy.fr/admin/pages/CloitreBatimentTour.jpg	(from http://web-week-2017-diablo.tp.mmi-lepuy.fr/admin/pages/image-uploader-page.php)
12:58:48	448/448	---M--	404	error ('Not%20Found')	text/html	date:Fri,%2029%20Dec%202017%2011:58:47%20GMT	http://web-week-2017-diablo.tp.mmi-lepuy.fr/admin/pages/CloitreEntree.jpg	D:/Utilisateurs/Bureau/test_1/WeebWeek/web-week-2017-diablo.tp.mmi-lepuy.fr/admin/pages/CloitreEntree.jpg	(from http://web-week-2017-diablo.tp.mmi-lepuy.fr/admin/pages/image-uploader-page.php)
